Symbol,Expiration,Name
SPY,2022-05-20,0.3 months
SPY,2022-06-17,1.2 months
SPY,2022-07-15,2.2 months
SPY,2022-08-19,3.3 months
SPY,2022-09-16,4.3 months
SPY,2022-11-18,6.4 months
SPY,2022-12-16,7.3 months
SPY,2023-01-20,8.5 months
SPY,2023-03-17,10.3 months
SPY,2023-06-16,13.4 months
SPY,2023-12-15,19.4 months
SPY,2024-01-19,20.6 months
SPY,2024-12-20,31.8 months
QQQ,2022-05-20,0.3 months
QQQ,2022-06-17,1.2 months
QQQ,2022-07-15,2.2 months
QQQ,2022-08-19,3.3 months
QQQ,2022-09-16,4.3 months
QQQ,2022-12-16,7.3 months
QQQ,2023-01-20,8.5 months
QQQ,2023-03-17,10.3 months
QQQ,2023-06-16,13.4 months
QQQ,2023-12-15,19.4 months
QQQ,2024-01-19,20.6 months
IWM,2022-05-20,0.3 months
IWM,2022-06-17,1.2 months
IWM,2022-07-15,2.2 months
IWM,2022-08-19,3.3 months
IWM,2022-09-16,4.3 months
IWM,2022-11-18,6.4 months
IWM,2022-12-16,7.3 months
IWM,2023-01-20,8.5 months
IWM,2023-03-17,10.3 months
IWM,2023-06-16,13.4 months
IWM,2023-12-15,19.4 months
IWM,2024-01-19,20.6 months
